"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57"
"Ereg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erf",0,0,0,0,7,0,0,1,0,0,37,0,0,0,0,0,1,4,2,0,0,0,0,4,0,0,14,1,0,100,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,11,0,0,39,0,30,0,4
"Erg",0,0,0,0,8.40953,2,0.000164514,0,0,2,0,0,0,1,0,0,0,11.735,0,0,0,1,0,0,0,0,1,0,0,0.851025,0,0,0,0,5.59272,0,0,1.12699,0,0,0,0,12,0,0,0,3.06611,4.03358,2,1.11663,2,1.27643,0,6,0,0,0
"Ergic1",0,960,2,2.54929,0,0,7.90582,81.8629,2.857537,3,3,4.45583,1.11787,257.0712,1,0,3,3,0,0,158,40,0,64.9173,207.2643,0,144.6206,31.9195,497,181,0,2.02655,24.76747,567.081,1.51709,1,1.47655,46,25.05912,107.1382,0,0,40.6993,15,0,232.552,9.13438,4.54023,61.8933,63.0884,13.98583,344.1615,20,44.04505,16,48,69.37202
"Ergic2",0,0.996471,48.1554,107.54163,15.90285,9.06481,37.96891,261.98,20.62041,13.01466,18.7083,118.7779,2.181346,1.9846,369.204,0,0,235.7215,59.8737,0,0,67.9523,56.4515,50.1799,25.89904,1,9.75204,86.6982,86.6819,5.68,2.22334,43.1627,1.906046,128.15493,57.9902,0,5.42597,8.87858,36.499432722,16.1138,3.86876,0,77.0825,17.288971,16.889994,1.3508,12.7563,0,57.0206,43.22096,23.1735,58.093067,475.229,83.0056,0,0.630855,11.09958
"Ergic3",1,6,0,306.321,155.07281,0,165.44300100526,531.127,494.974,1.35239,1,0,10.99995,1.24592,1.29135,2.0000000129505,628.409,615.3606,2.476,11.105,0,0,2,278.56,343.9999,89.22005,1,15.71458,4.21811,2,2,1,313.99989,294.45,251.572,3,0,0,48.602,465.1304,2.72803322,0,486.792,1139.6922,649.1666,226.543,1.28889,0,38.137317,3.747082,434.998,0,239.9880291537,460.134,0,0,3
"Erh",627.849,22,797.795,585.44,255.9119,5.000002,751.972,513.3678,1010.76,3,1.6314608478,18,1286.171,508.7015,4,5,602.27,1292.039,3.36878,99.2196,715.376,4,9,647.331,869.834,39.1286,288.9078,342.8021,4.98694,2.9999964,746.872,815.0962,382.5725,1063.688,734.961,8.34948,659.0268,221.8304,546.551,489.2329,1.63666,5.42684,779.969,814.025,7.51514,100.92,4.84063,682.543,448.799,270.9161,599.2651,4.86227,340.1741,510.515,11,16.000040348,339.7495
"Eri1",0,0,0,1,22,0,7.4286,159,142,0,1,0,1,0,0,0,0,0,0,0,0,0,1,11,55,0,0,0,0,0,0,13,0,92,0,1,1,2,57,1,0,0,0,4,0,0,1,51,115,0,0,0,25,0,0,1,1.18631
"Eri2",0,0,0,1.52839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4879,0,0,0,0,0,0,0,0,2.816394
"Eri3",0,0,0,16.0337,102,0,3,245.36395,518.99953,0,0,0,0,0,0,0,0,0,1,0,0,0,0,315.717,115.8939,0,0,0,0,0,1059.34,0,0,75.7002,0,0,656,0,102.5073,367.25383,2.174017,2,149.65168,78.7909,1,0,0,118.3879,135.021,55.9403,262.72975,0,43.9235,115.68368,2.72805,1,3.98203
