"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59"
"Grb7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grcc10",0,260.894,21.1184,37.5984,1,163.66,100.259,0,131.317,0,24.6133,62.3762,0.349123,0,113.275,76.8743,0,134.313,16.9235,102.641,0,9.8851,313.708,0,115.627,403.681,60.8448,142.518,0,38.7722,0,227.007,0,127.205,159.781,155.952,0,8.06342,0,76.4877,15.405,108.062,67.5577,0,0,161.252,170.66,32.991,170.224,155.141,1,1.65662,0,220.388,0,32.863,1.59472,1.71991,26.5509
"Greb1",0,0,0,0,0,0,0,0,0,0,0,0,1.000580282546,0,0,0,0,0,0,0,0,0,0,0,23.50320485399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0004900568598,3.001310552415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greb1l",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,46,0,0,0,456,0,66.038,0,4,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1.445,0,0,0,0,1
"Grem1",0,0,6.10897,0,2.90187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99783
"Grem2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grhl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grhl2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grhl3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grhpr",0,0,0,0,1,0,3,0,1,1,809.5358,10,1,0,8,1,0,8,1,0,2,176,0,247,0,2,2.25068,1,0,1,1,0,0,13,0,0,1,1,0,1,0,0,0,1,0,0,0,0,4,1,0,5,31,0,10,214.5867,0,5,1
"Gria1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gria2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gria3",1.00114,0,0,1.0018,0,0.0181708,0,0,0.0153778,0.0195047,0,0.0114953,0,0,0,34.95831,0.0225199,0,0,0,0,0,0,0,0,0.261141,0,0,0,0,0,0,0.0101121,0,0,0,0,0,0,0,8.44164,0,0,0,0.0124041,0,0.0102608,0,0,0,0,0,0,0,0.0166453,0,0,0,0
"Gria4",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,278,0,2,0,0,0,0,0,0,641.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Grid1",1.02812,0,0,1.02313,0,12.2491,0,0,4.24704,0,0,0,6.82209,0,0,0,1.07775,1.18891,0,1.13398,0,0,0,0,1.12214,0,0,1.42262,0,0,0,2.97089,0,0,0,0,0,0,0,0,2.2928,0,0,0,0,0,0,2.22009,0,1.44774,0,0,1.04818,2.81658,0,0,0,0,0
